Street Number, Street Name, Zipcode, Price
1280, HILLMAN ST, 93274, $520000
3697, W 5TH ST, 93030, $560000
3571, KETTNER BLVD, 92101, $11500000
577, N LA CADENA DR, 92324, $1399990
1688, ACTION AVE, 94559, $3100000
1300, COSTA AVE, 94806, $3300000
3314, W MANCHESTER BLVD, 90305, $825000
314, POTRERO AVE, 94103, $3750000
2424, RAYMOND AVE, 90007, $2000000
3562, HOMESTEAD RD, 95051, $4000000
946, W 7TH ST, 93030, $299500
1400, MITCHELL RD, 95351, $950000
2675, CONEJO CENTER DR, 91320, $585000
1042, E 4TH ST, 92701, $11996750
710, MAIN ST, 95695, $2625000
839, S MOUNTAIN AVE, 91762, $8712000
10636, SAN SEVAINE WAY, 91752, $1982400
312, E BALL RD, 92805, $6399000
4175, E ASHLAN AVE, 93726, $4335484
3586, KETTNER BLVD, 92101, $11500000
1427, W VALLEY BLVD, 91803, $2100000
822, S GRAND VIEW ST, 90057, $5500000
4854, TELEGRAPH RD, 90022, $1380000
1622, UNION AVE, 93305, $4000000
17304, STEVENS CANYON RD, 95014, $2100000
14158, SIERRA HWY, 91390, $40000
1727, W ADAMS BLVD, 90018, $4900000
9776, RESEARCH DR, 92618, $2102660
28451, HASKELL CANYON RD, 91390, $8000000
1224, K ST, 95354, $1195000
514, PENINSULA AVE, 94401, $2500000
9900, GARDEN GROVE BLVD, 92641, $4700000
13318, PENN ST, 90602, $1399000
1621, MALCOLM AVE, 90024, $9900000
528, 8TH ST, 94607, $4350000
233, ROSEMONT AVE, 90026, $3299000
338, S KALMIA ST, 92025, $1800000
5, SIERRA GATE PL, 95678, $8159839
7953, S VAN NESS AVE, 90305, $1248100
3110, INLAND EMPIRE BLVD, 91764, $1993175
2308, AMERICAN AVE, 94545, $490000
1216, 1ST ST, 95020, $8350000
316, S CABRILLO AVE, 90731, $500000
313, E BALL RD, 92805, $6399000
18175, SANDERS DR, 92530, $888000
245, KING ST, 94107, $4300000
1717, MASON ST, 94133, $11998000
19815, GRAND AVE, 92530, $400000
3976, COMMERCE DR, 95691, $4899000
285, KING ST, 94107, $4300000
818, S ENCINA ST, 93277, $1095000
1255, 1ST ST, 95020, $8350000
125, S GRAPE ST, 92025, $695000
1925, HANCOCK ST, 92110, $3200000
212, S MAIN ST, 95035, $5000000
6521, S VERMONT AVE, 90044, $850000
7991, ALMERIA AVE, 92336, $1990000
26863, CHERRY HILLS BLVD, 92586, $18500000
1324, GRANT AVE, 94945, $3900000
2211, E 7TH ST, 90804, $1550000
1409, W VALLEY BLVD, 91803, $2100000
3562, KETTNER BLVD, 92101, $11500000
7945, AUBURN BLVD, 95610, $3200000
219, ASHBURY ST, 94117, $1995000
3568, KETTNER BLVD, 92101, $11500000
6946, ARCHIBALD AVE, 91701, $1790000
5834, ADENMOOR AVE, 90713, $1563499
11327, GARVEY AVE, 91732, $2450000
960, W 7TH ST, 93030, $239900
20539, WISTERIA ST, 94546, $3588000
2005, J ST, 92102, $1189900
1975, N VENTURA RD, 93036, $3800000
1159, E ASH AVE, 92831, $3405000
4565, PECK RD, 91732, $5500000
323, 1/2 EVERETT ST, 90026, $1300000
912, 1/2 EVERETT ST, 90026, $1300000
21981, EUCALYPTUS AVE, 92553, $5920000
3715, MIDVALE AVE, 90034, $3550000
53, ACRES LOS ALAMOS RD, 92562, $2040000
4352, TECHNOLOGY DR, 94538, $8600000
2674, CONEJO CENTER DR, 91320, $585000
421, W 1ST ST, 92780, $2900000
1541, E WALNUT AVE, 92867, $6950000
574, N TUSTIN ST, 92867, $1775000
1475, S STATE COLLEGE BLVD, 92806, $4950000
546, JACKSON ST, 94544, $155000
1672, ACTION AVE, 94559, $3100000
2319, MARKET ST, 94114, $6495000
10671, SAN SEVAINE WAY, 91752, $1982400
444, CYPRESS AVE, 96002, $599000
1104, QUAIL ST, 92660, $1184355
26915, CHERRY HILLS BLVD, 92586, $18500000
1611, H ST, 93721, $1350000
1566, REPORT AVE, 95205, $799000
361, S CABRILLO AVE, 90731, $500000
3118, S VALLE AVE, 92113, $4400000
103, S HARBOR BLVD, 92805, $545000
1247, 1ST ST, 95020, $8350000
1321, S VINE AVE, 92833, $24500000
13431, S BUDLONG AVE, 90247, $750000
12144, GARFIELD AVE, 90280, $5975000
171, 1/2 EVERETT ST, 90026, $1300000
20472, ANITA AVE, 94546, $16100000
4356, TECHNOLOGY DR, 94538, $8600000
717, 1/2 EVERETT ST, 90026, $1300000
1358, GRAND AVE, 92109, $11000000
8979, FONTANA AVE, 92335, $695000
1141, VAN NESS AVE, 93721, $299995
1866, UNION ST, 94123, $5700000
20442, ANITA AVE, 94546, $16100000
12455, SAN FERNANDO RD, 91342, $15500000
4848, PESCADERO AVE, 92107, $2075000
2483, IMPERIAL AVE, 92102, $4195000
26882, CHERRY HILLS BLVD, 92586, $18500000
18208, CULL CANYON RD, 94552, $1329800
3335, HOLLY DR, 95376, $3200000
20488, ANITA AVE, 94546, $16100000
420, PIONEER AVE, 95776, $2100000
14519, CENTRAL AVE, 91706, $1200000
900, S CENTRAL AVE, 91204, $3200000
4077, OLD REDWOOD HWY, 95403, $6900000
936, N MADISON ST, 95202, $749000
2811, AIRPARK RD, 93455, $11350000
165, MEDFORD AVE, 94541, $1300000
2198, N MOORPARK RD, 91360, $950000
501, S CENTRAL AVE, 91204, $1999000
2805, W LINCOLN AVE, 92801, $1920000
11791, MONARCH ST, 92841, $5349300
1633, H ST, 93721, $1350000
3663, W 102ND ST, 90303, $4320000
1236, 1ST ST, 95020, $8350000
436, S SOTO ST, 90033, $1499000
10648, SAN SEVAINE WAY, 91752, $1982400
12614, KORNBLUM AVE, 90250, $3995000
6826, WALTHALL WAY, 90723, $9550000
156, CAPP ST, 94110, $14980000
5697, CUSHING PKY, 94538, $29950000
4859, N CEDAR AVE, 93726, $995000
191, 1/2 EVERETT ST, 90026, $1300000
3329, HOLLY DR, 95376, $3200000
7912, N LAURELGLEN BLVD, 93309, $559000
69, 1/2 EVERETT ST, 90026, $1300000
147, N BEACHWOOD DR, 91506, $1970000
219, E SIXTH ST, 93030, $875000
1827, CAPITAL ST, 92880, $1799980
4550, PECK RD, 91732, $5500000
28431, HASKELL CANYON RD, 91390, $8000000
1101, QUAIL ST, 92660, $1184355
2235, S GOLDEN STATE BLVD, 95380, $2096000
2121, 5TH AVE, 92101, $3750000
3012, RAILROAD AVE, 94565, $250000
2852, 4TH AVE, 92103, $4475000
723, W 11TH ST, 90731, $1600000
420, 1/2 EVERETT ST, 90026, $1300000
2114, VAN NESS AVE, 94109, $15000000
1262, 1ST ST, 95020, $8350000
2317, AMERICAN AVE, 94545, $490000
1145, E CALIFORNIA AVE, 91206, $4250000
221, S RIVERSIDE AVE, 92376, $1995000
218, W E ST, 91762, $519500
2702, HIGHLAND AVE, 92105, $499000
627, E SLAUSON AVE, 90011, $11308239
2826, LYTTON ST, 92110, $1799999
170, S GRAND OAKS AVE, 91107, $1280000
26901, CHERRY HILLS BLVD, 92586, $18500000
584, W MAIN ST, 91801, $5880000
6827, WALTHALL WAY, 90723, $9550000
2559, 26TH AVE, 95820, $1600000
1185, E FLORENCE AVE, 90001, $2300000
908, 1/2 EVERETT ST, 90026, $1300000
900, E COMPTON BLVD, 90221, $3995000
245, SCOTT ST, 94117, $3750000
2829, LYTTON ST, 92110, $1799999
2685, CONEJO CENTER DR, 91320, $585000
2041, SINALOA RD, 93065, $2600000
12203, GARFIELD AVE, 90280, $5975000
5659, CUSHING PKY, 94538, $29950000
5645, CUSHING PKY, 94538, $29950000
981, W 7TH ST, 93030, $239900
1846, PINE AVE, 90806, $4925000
2424, FENTON ST, 91914, $1625000
476, 1/2 EVERETT ST, 90026, $1300000
2297, DURFEE AVE, 91732, $4000000
2861, 4TH AVE, 92103, $4475000
1279, UNDERWOOD AVE, 94124, $2000000
3690, W 5TH ST, 93030, $560000
3129, PARK MEADOWS DR, 93308, $1875000
633, E SLAUSON AVE, 90011, $11308239
1407, 5TH ST, 91201, $3920000
1260, 7TH AVE, 95062, $1799000
329, S RAMPART BLVD, 90057, $4000000
2200, GRANT AVE, 90278, $7500000
1211, S BRAND BLVD, 91204, $3198000
3870, BEACON AVE, 94538, $995000
3362, 20TH ST, 94110, $1200000
9111, GARDEN GROVE BLVD, 92844, $2200000
2940, FILLMORE ST, 94123, $4500000
210, S PACIFIC COAST HWY, 90277, $2150000
1641, A ST, 94509, $6200000
179, W ALAMEDA ST, 95336, $795000
1309, 1ST ST, 95020, $8350000
4375, TECHNOLOGY DR, 94538, $8600000
8374, LACEY BLVD, 93230, $750000
11708, FIRESTONE BLVD, 90650, $2575000
1140, FOLSOM ST, 94103, $1500000
12615, KORNBLUM AVE, 90250, $3995000
256, KING ST, 94107, $4300000
510, N MYERS ST, 92054, $13250000
12192, GARFIELD AVE, 90280, $5975000
2551, 26TH AVE, 95820, $1600000
1405, SPRUCE ST, 92507, $1100000
1308, HOPKINS ST, 94702, $1795000
1312, 17TH ST, 90404, $2995000
308, S CATALINA AVE, 90277, $10995000
7314, ROSEMEAD BLVD, 90660, $2195000
2400, STURGIS RD, 93030, $4385205
323, E BALL RD, 92805, $6399000
10557, JUNIPER AVE, 92337, $825000
2035, SINALOA RD, 93065, $2600000
5690, CUSHING PKY, 94538, $29950000
31689, HAYMAN ST, 94544, $730000
2350, NORTHVIEW DR, 95833, $395000
1471, W HOLT AVE, 91768, $2480000
9, 1/2 EVERETT ST, 90026, $1300000
814, S MOUNTAIN AVE, 91762, $8712000
824, 1/2 EVERETT ST, 90026, $1300000
9265, SIERRA COLLEGE BLVD, 95661, $1975000
3873, BEACON AVE, 94538, $995000
14706, DOOLITTLE DR, 94577, $10170000
1709, ACTION AVE, 94559, $3100000
1488, WASHINGTON BLVD, 94521, $2007000
4341, TECHNOLOGY DR, 94538, $8600000
9508, KRUSE RD, 90660, $3286320
8143, ARROYO DR, 91770, $4098000
4153, EL CAMINO WAY, 94306, $1785000
1340, E CARSON ST, 90745, $3495000
1460, HARBOR AVE, 90813, $1100000
9520, KRUSE RD, 90660, $3286320
111, DEERWOOD RD, 94583, $1085000
26300, N MOONEY BLVD, 93274, $775000
2732, CONEJO CENTER DR, 91320, $585000
2125, N ANGUS ST, 93703, $15800000
507, E EUCLID AVE, 90222, $49950000
2001, W MYRTLE ST, 92703, $1780000
425, S STATE COLLEGE BLVD, 92806, $3175000
664, SHOTWELL ST, 94110, $4495000
2032, BACON ST, 92107, $3400000
1616, A ST, 94509, $6200000
1443, PECKHAM ST, 92833, $2549000
2035, BACON ST, 92107, $3400000
36345, BANKSIDE DR, 92234, $4316000
2001, S CONGRESS AVE, 90018, $749000
8214, COMMONWEALTH AVE, 90621, $3000000
1907, S LONGWOOD AVE, 90016, $1690000
15350, FAIRFIELD RANCH RD, 91709, $1100000
1646, A ST, 94509, $6200000
2030, S TREMONT ST, 92054, $7250000
1295, 1ST ST, 95020, $8350000
1442, PECKHAM ST, 92833, $2549000
9477, MAGNOLIA AVE, 92503, $1500000
845, S MOUNTAIN AVE, 91762, $8712000
681, 1/2 EVERETT ST, 90026, $1300000
289, KING ST, 94107, $4300000
20449, ANITA AVE, 94546, $16100000
1270, 1ST ST, 95020, $8350000
2222, 19TH ST, 93301, $1360000
11321, GARVEY AVE, 91732, $2450000
791, LEVY RD, 95630, $4000000
1716, SESSUMS DR, 92374, $5400000
1493, CARMEL DR, 94596, $4850000
246, GRAND AVE, 94080, $1999999
11215, 1ST AVE, 90603, $2830000
1735, N FRESNO ST, 93703, $299900
13979, FREDERICK ST, 92553, $1702030
521, CHARCOT AVE, 95131, $627900
7541, GARVEY AVE, 91770, $4580000
1022, UNIVERSITY AVE, 94710, $4349000
856, ANCHORAGE PL, 91914, $740000
9505, KRUSE RD, 90660, $3286320
7697, CRAIG AVE, 90621, $3500000
1167, E FLORENCE AVE, 90001, $2300000
20662, LAKE FOREST DR, 92630, $9690000
330, S MONTCLAIR ST, 93309, $489000
266, KING ST, 94107, $4300000
543, HARVEST PARK DR, 94513, $1799900
5698, CUSHING PKY, 94538, $29950000
26802, CHERRY HILLS BLVD, 92586, $18500000
1457, HARBOR AVE, 90813, $1100000
2277, DURFEE AVE, 91732, $4000000
1686, ACTION AVE, 94559, $3100000
80, 1/2 EVERETT ST, 90026, $1300000
3311, MULFORD AVE, 90262, $2100000
606, 1/2 EVERETT ST, 90026, $1300000
208, S LONG BEACH BLVD, 90221, $375000
1971, N VENTURA RD, 93036, $3800000
5835, ADENMOOR AVE, 90713, $1563499
1075, S CLOVERDALE AVE, 90019, $2239000
2002, GRISMER AVE, 91504, $6488000
2763, OLD SONOMA RD, 94558, $8250000
133, COPELAND ST, 94952, $9750000
629, 1/2 EVERETT ST, 90026, $1300000
26868, CHERRY HILLS BLVD, 92586, $18500000
140, W WILSHIRE AVE, 92832, $3200000
891, N GAREY AVE, 91767, $889000
610, TENNESSEE ST, 94590, $1900000
507, E 18TH ST, 94509, $750000
502, NATOMA ST, 95630, $700000
14812, PIONEER BLVD, 90650, $3700000
3925, FOOTHILL BLVD, 91214, $2150000
9782, RESEARCH DR, 92618, $2102660
926, E PALMDALE BLVD, 93550, $360000
3217, S CENTRAL AVE, 90011, $900000
6139, CAMINO VERDE DR, 95119, $9750000
1317, E WILSON AVE, 91206, $2495000
3634, W 5TH ST, 93030, $560000
873, ANCHORAGE PL, 91914, $740000
5238, 3RD ST, 94124, $2995000
179, 1/2 EVERETT ST, 90026, $1300000
722, E 62ND ST, 90001, $8604750
537, MIDDLEFIELD RD, 94301, $12000000
653, SACRAMENTO ST, 94111, $8500000
9610, E STOCKTON BLVD, 95624, $7233000
2080, BELGRAVE AVE, 90255, $3711000
1620, N 8TH ST, 92324, $1740000
631, E SLAUSON AVE, 90011, $11308239
17320, STEVENS CANYON RD, 95014, $2100000
124, RIVER ST, 95060, $1100000
511, 1/2 EVERETT ST, 90026, $1300000
1237, 1ST ST, 95020, $8350000
680, E 3RD AVE, 94401, $16500000
16688, JUNIPER ST, 92345, $850000
3329, HARBOR VIEW DR, 92106, $4200000
2401, VENTURA BLVD, 93010, $1295000
6248, CARVER RD, 95356, $679000
4036, OREGON ST, 92104, $5299000
9840, IRVINE CENTER DR, 92618, $4997000
3882, BEACON AVE, 94538, $995000
3335, W ROSECRANS AVE, 90250, $1599000
17772, IRVINE BLVD, 92780, $3495000
623, E SLAUSON AVE, 90011, $11308239
310, GODDARD WAY, 92618, $4574250
971, MOFFAT BLVD, 95336, $900000
857, ANCHORAGE PL, 91914, $740000
8905, TOPE AVE, 90280, $2025000
576, N LA CADENA DR, 92324, $1399990
1518, E 3RD ST, 90802, $7495000
2801, FABER ST, 94587, $12000000
29, 29TH ST, 94110, $2600000
8042, FAIRVIEW AVE, 91941, $1950000
1445, GRANGE ST, 96001, $525000
3033, TREADWELL ST, 90065, $2600000
13757, OLDE HIGHWAY, 92020, $1400000
664, E 3RD AVE, 94401, $16500000
2033, SINALOA RD, 93065, $2600000
1186, E FLORENCE AVE, 90001, $2300000
1541, WALLACE AVE, 94124, $3315000
12191, GARFIELD AVE, 90280, $5975000
401, W BEVERLY BLVD, 90640, $1600000
617, E 3RD AVE, 94401, $16500000
1425, CORPORATE CENTER PKY, 95407, $3300000
2525, IRON POINT RD, 95630, $3200000
2993, NATIONAL AVE, 92113, $1150000
2181, KENYON DR, 96001, $615000
28421, HASKELL CANYON RD, 91390, $8000000
8931, COMPLEX DR, 92123, $1836000
4353, TECHNOLOGY DR, 94538, $8600000
2633, HAUSER BLVD, 90016, $2595000
9236, RESEARCH DR, 92618, $1579355
4064, E ASHLAN AVE, 93726, $4059000
2331, MARKET ST, 94114, $6495000
429, S STATE COLLEGE BLVD, 92806, $3175000
1494, CARMEL DR, 94596, $4850000
4805, WHITTIER BLVD, 90022, $3304224
2601, CONEJO CENTER DR, 91320, $585000
10658, SAN SEVAINE WAY, 91752, $1982400
26825, CHERRY HILLS BLVD, 92586, $18500000
1054, GRANT AVE, 94133, $6150000
491, E EUCLID AVE, 90222, $49950000
2528, E 127TH ST, 90222, $2390000
1618, W HARBERT ST, 91790, $1750000
811, E MAIN ST, 91801, $8980000
22405, GOLDENCREST DR, 92553, $2490000
8311, S FRUIT AVE, 93706, $1750000
20926, S BRANT AVE, 90810, $562500
2905, ALUM ROCK AVE, 95127, $7900000
3850, BALFOUR RD, 94513, $9740000
750, N RIDGEWOOD PL, 90038, $2950000
7991, S VAN NESS AVE, 90305, $1248100
2717, NAGLEE RD, 95304, $6700000
3620, W 5TH ST, 93030, $625000
518, SANTA ANA AVE, 95112, $1500000
9787, RESEARCH DR, 92618, $2102660
6622, OWENS DR, 94588, $2350000
4726, HAWLEY BLVD, 92116, $16295000
8213, COMMONWEALTH AVE, 90621, $3000000
622, TENNESSEE ST, 94590, $1900000
5608, CUSHING PKY, 94538, $29950000
907, SANTA FE AVE, 93721, $2750000
328, S CABRILLO AVE, 90731, $500000
1221, E 1ST ST, 92701, $3200000
2628, SOQUEL DR, 95065, $3400000
3584, 3RD AVE, 92103, $3200000
1322, 1ST ST, 95020, $8350000
5620, BIRDCAGE ST, 95610, $1700000
2231, S GOLDEN STATE BLVD, 95380, $2096000
580, BUSH ST, 94108, $6500000
41693, DATE ST, 92562, $812820
257, KING ST, 94107, $4300000
29054, GOETZ RD, 92587, $770000
4554, PECK RD, 91732, $5500000
13441, HAWTHORNE BLVD, 90250, $2499000
7960, S VAN NESS AVE, 90305, $1248100
28448, HASKELL CANYON RD, 91390, $8000000
536, 1/2 EVERETT ST, 90026, $1300000
712, BROADWAY ST, 94590, $2500000
2233, DOUGLAS BLVD, 95661, $1900000
5910, BOB ST, 91942, $840000
1306, W 11TH ST, 95341, $3150000
7938, AUBURN BLVD, 95610, $3200000
3937, 5TH AVE, 92103, $5795000
9337, NATIONAL BLVD, 90034, $2725000
225, S RIVERSIDE AVE, 92376, $1995000
664, 1/2 EVERETT ST, 90026, $1300000
2715, CONEJO CENTER DR, 91320, $585000
1725, S VERMONT AVE, 90006, $1100000
1642, CAHUENGA BLVD, 90028, $8500000
4877, 67TH ST, 92115, $4999999
2438, N PONDEROSA DR, 93010, $329000
1525, REPORT AVE, 95205, $799000
8968, FOLSOM BLVD, 95826, $2500000
153, S HARBOR BLVD, 92805, $545000
2660, PARK MARINA DR, 96001, $8650000
838, S MOUNTAIN AVE, 91762, $8712000
